Job Title,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted,Min Salary,Max Salary,Avg Salary,Cleaned Description,Cleaned Skills
software engineer,develop software,"java, python","£40,000 - £60,000",london,abc tech,entry-level,technology,full-time,2023-01-05,40000.0,60000.0,50000.0,develop software,java python
data analyst,analyze data,"sql, excel","£35,000 - £50,000",manchester,xyz analytics,junior,analytics,full-time,2023-02-10,35000.0,50000.0,42500.0,analyze datum,sql excel
network engineer,maintain networks,"cisco, wan","£45,000 - £70,000",birmingham,network solutions,mid-level,networking,full-time,2023-03-15,45000.0,70000.0,57500.0,maintain network,cisco wan
cloud architect,design cloud,"aws, azure","£60,000 - £90,000",edinburgh,cloud innovators,senior,cloud computing,full-time,2023-04-20,60000.0,90000.0,75000.0,design cloud,aws azure
cybersecurity analyst,protect data,cybersecurity,"£50,000 - £80,000",glasgow,secureguard,mid-level,security,full-time,2023-05-25,50000.0,80000.0,65000.0,protect datum,cybersecurity
it project manager,manage projects,"pmp, agile","£70,000 - £100,000",leeds,project leaders,senior,project management,full-time,2023-06-30,70000.0,100000.0,85000.0,manage project,pmp agile
data scientist,analyze big data,"r, python","£55,000 - £85,000",bristol,data insights,mid-level,data science,full-time,2023-07-05,55000.0,85000.0,70000.0,analyze big datum,r python
devops engineer,streamline devops,"docker, jenkins","£50,000 - £75,000",newcastle,devops solutions,mid-level,devops,full-time,2023-08-10,50000.0,75000.0,62500.0,streamline devop,docker jenkin
it support analyst,provide it support,"windows, linux","£30,000 - £45,000",sheffield,it services,entry-level,support,full-time,2023-09-15,30000.0,45000.0,37500.0,provide support,windows linux
ux/ui designer,design user interfaces,ui/ux design,"£40,000 - £70,000",cardiff,design studios,junior,design,full-time,2023-10-20,40000.0,70000.0,55000.0,design user interface,ui ux design
database analyst,manage databases,"sql, oracle, database management","£40,000 - £65,000",london,data solutions,mid-level,database,full-time,2023-11-25,40000.0,65000.0,52500.0,manage database,sql oracle database management
ui developer,design user interfaces,"html, css, javascript","£35,000 - £55,000",manchester,web creations,junior,web development,full-time,2023-12-10,35000.0,55000.0,45000.0,design user interface,html css javascript
system administrator,maintain systems,"windows server, active directory","£45,000 - £70,000",birmingham,system services,mid-level,it services,full-time,2023-01-15,45000.0,70000.0,57500.0,maintain system,windows server active directory
ai/ml engineer,develop ai models,"python, tensorflow, ai/ml","£55,000 - £85,000",edinburgh,ai innovations,mid-level,artificial intelligence,full-time,2023-02-20,55000.0,85000.0,70000.0,develop ai model,python tensorflow ai ml
it auditor,audit it systems,"audit, risk management","£50,000 - £80,000",glasgow,audit experts,mid-level,audit,full-time,2023-03-25,50000.0,80000.0,65000.0,audit system,audit risk management
network security engineer,secure networks,"firewall, vpn, security","£55,000 - £90,000",leeds,securenet,mid-level,security,full-time,2023-04-30,55000.0,90000.0,72500.0,secure network,firewall vpn security
software tester,test software,"manual testing, bug tracking","£30,000 - £50,000",bristol,qa solutions,entry-level,quality assurance,full-time,2023-05-05,30000.0,50000.0,40000.0,test software,manual testing bug tracking
